id,age,income,educ,gender,vacc_b,treat,vacc_e,missing
68,56,2,3,1,3,1,5,0
69,51,5,3,1,3,2,3,0
70,40,7,2,0,5,0,5,0
71,38,4,3,1,2,1,3,0
72,26,5,3,0,1,0,1,0
73,23,7,2,1,1,1,2,0
74,69,9,3,0,2,2,3,0
75,77,6,2,1,4,1,5,0
76,49,5,2,1,1,0,2,0
77,72,6,2,0,2,1,3,0
78,40,1,2,0,3,0,NA,1
79,62,9,2,0,3,0,4,0
80,51,3,2,1,1,1,2,0
81,32,5,2,0,1,2,1,0
82,80,8,3,1,1,1,1,0
83,33,8,1,1,5,0,5,0
84,37,6,2,1,5,1,5,0
85,40,7,2,1,3,1,4,0
86,19,7,2,1,2,2,NA,1
87,54,9,3,1,1,2,1,0
88,78,6,2,1,3,1,3,0
89,68,5,2,0,3,1,4,0
90,56,8,3,0,4,0,4,0
91,17,3,3,1,2,2,2,0
92,52,4,1,0,5,0,5,0
93,57,5,3,1,1,2,1,0
94,18,7,3,1,3,0,4,0
95,64,1,3,0,3,2,3,0
96,26,5,2,1,2,1,3,0
97,74,8,2,1,4,2,4,0
98,59,4,2,1,5,2,5,0
99,51,8,1,0,5,2,5,0
100,82,5,2,0,4,2,5,0
101,40,5,3,0,5,1,5,0
102,41,4,2,0,4,2,4,0
103,45,6,2,1,1,1,NA,1
104,60,6,2,1,4,0,NA,1
105,85,4,2,0,2,0,3,0
106,35,5,2,1,4,2,5,0
107,53,8,2,0,1,1,2,0
108,79,9,2,0,1,2,1,0
109,30,4,2,0,3,2,4,0
110,22,9,2,0,1,2,2,0
111,24,5,2,0,1,0,1,0
112,83,5,2,0,3,2,NA,1
113,44,4,2,1,1,1,2,0
114,85,7,2,0,2,0,4,0
115,63,3,2,0,1,1,1,0
116,16,1,3,1,5,1,5,0
117,25,8,2,0,4,1,4,0
118,61,1,2,0,1,2,2,0
119,15,5,2,1,5,0,5,0
120,46,5,2,1,3,2,4,0
121,27,4,3,1,3,2,3,0
122,76,3,3,0,3,0,3,0
123,25,7,3,1,2,2,4,0
124,72,9,2,1,4,1,4,0
125,28,9,3,1,2,2,3,0
126,56,4,2,1,5,2,5,0
127,34,5,2,1,2,2,2,0
128,78,6,2,1,1,0,1,0
129,29,9,2,1,3,0,3,0
130,34,9,2,1,1,1,2,0
131,64,2,2,1,3,2,4,0
132,61,8,2,0,4,0,5,0
133,69,8,2,1,1,0,2,0
134,32,3,2,0,3,2,3,0
135,67,5,1,0,3,1,4,0
136,25,7,3,1,2,0,NA,1
137,36,1,3,0,2,2,3,0
138,66,3,3,1,5,1,5,0
139,53,6,2,0,5,2,5,0
140,45,6,1,1,3,2,4,0
141,60,1,3,1,2,2,2,0
142,78,1,3,1,2,0,3,0
143,33,7,2,1,4,1,5,0
144,25,8,2,1,1,0,NA,1
145,34,7,3,1,2,1,3,0
146,60,5,2,0,2,0,4,0
147,42,6,2,1,1,2,2,0
148,30,7,2,0,3,0,NA,1
149,83,1,1,1,4,1,5,0
150,21,9,3,0,4,1,4,0
151,70,6,3,0,2,0,3,0
152,51,5,2,0,1,1,2,0
153,19,7,2,0,5,1,5,0
154,60,6,2,1,3,0,3,0
155,34,7,2,1,3,1,3,0
156,70,5,2,0,5,1,5,0
157,79,8,3,1,2,2,4,0
158,50,8,3,0,3,2,2,0
159,52,5,3,0,1,2,NA,1
160,70,5,1,0,3,1,3,0
161,57,7,2,1,5,2,5,0
162,25,3,3,0,2,0,4,0
163,75,4,3,1,5,1,5,0
164,33,5,1,1,2,2,NA,1
165,56,5,2,1,5,0,NA,1
166,28,4,2,1,3,1,3,0
167,72,4,3,1,5,1,NA,1
168,17,8,3,0,5,2,5,0
169,57,4,3,0,1,2,1,0
170,22,5,2,0,4,0,5,0
171,72,9,1,0,4,1,NA,1
172,34,7,2,0,4,0,NA,1
173,69,5,3,1,4,1,5,0
174,39,5,1,0,5,0,NA,1
175,62,1,2,0,2,1,3,0
176,56,9,2,0,3,1,4,0
177,62,1,2,1,5,0,5,0
178,53,4,2,1,3,2,4,0
179,77,5,3,0,3,0,2,0
180,21,5,2,1,3,2,4,0
181,55,1,1,0,1,1,2,0
182,33,6,1,1,1,2,3,0
183,63,1,3,1,2,2,4,0
184,63,6,2,0,2,2,3,0
185,16,3,2,1,4,0,5,0
186,68,1,2,0,2,1,2,0
187,70,9,2,0,4,1,5,0
188,26,5,2,0,1,0,3,0
189,50,1,3,1,4,1,4,0
190,23,3,2,0,1,0,1,0
191,15,2,3,1,3,0,4,0
192,27,2,3,1,4,1,5,0
193,69,9,2,0,2,1,2,0
194,57,9,2,1,3,2,5,0
195,55,7,2,0,1,2,NA,1
196,85,7,2,0,2,2,4,0
197,83,7,2,0,5,0,4,0
198,83,1,2,1,4,0,5,0
199,75,7,2,1,5,2,5,0
200,72,7,2,0,2,1,2,0
201,52,5,1,1,5,2,5,0
202,22,1,3,0,5,2,5,0
203,59,5,2,1,5,2,NA,1
204,49,2,2,0,1,0,3,0
205,21,7,3,0,3,1,4,0
206,16,4,2,1,4,2,5,0
207,69,2,3,1,2,1,2,0
208,70,8,3,1,3,1,3,0
209,61,6,2,1,2,1,NA,1
210,22,7,2,0,5,1,5,0
211,41,7,2,0,2,2,1,0
212,42,5,1,1,2,0,2,0
213,26,4,2,0,4,1,5,0
214,53,8,2,1,5,0,NA,1
215,18,5,2,1,4,1,5,0
216,57,6,2,0,3,1,3,0
217,54,8,3,1,2,1,3,0
218,32,6,3,1,4,1,5,0
219,82,7,2,1,1,2,2,0
220,31,7,2,1,4,0,4,0
221,27,7,2,0,1,1,3,0
222,37,1,3,1,3,2,2,0
223,39,6,2,1,3,0,3,0
224,16,7,2,0,5,0,5,0
225,36,5,1,0,5,2,5,0
226,85,4,3,1,2,1,2,0
227,70,4,2,0,2,1,2,0
228,26,7,2,0,1,0,2,0
229,15,4,2,1,2,1,2,0
230,64,7,3,0,1,2,1,0
231,19,2,2,1,4,0,4,0
232,54,9,2,0,2,2,3,0
233,77,1,2,1,5,1,5,0
234,47,6,2,1,3,0,NA,1
235,16,9,3,0,4,2,5,0
236,77,5,2,0,3,1,4,0
237,54,1,2,0,4,1,4,0
238,51,7,3,0,5,0,5,0
239,30,1,2,0,2,2,NA,1
240,65,1,3,0,4,0,4,0
241,35,7,2,1,3,2,3,0
242,32,4,3,1,4,2,4,0
243,59,8,2,1,4,2,4,0
244,28,8,2,1,5,0,5,0
245,59,8,3,1,2,2,3,0
246,19,5,2,1,2,0,3,0
247,30,9,2,0,4,1,5,0
248,71,3,3,0,3,1,4,0
249,40,7,2,0,1,1,2,0
250,51,1,2,0,5,1,5,0
251,15,7,2,1,2,0,1,0
252,73,4,2,0,2,2,NA,1
253,80,6,3,0,2,0,NA,1
254,60,4,2,0,2,0,4,0
255,35,1,3,0,1,2,1,0
256,83,6,3,0,4,1,NA,1
257,66,3,3,1,5,1,5,0
258,74,1,2,0,5,1,5,0
259,45,5,3,1,1,1,NA,1
260,55,1,2,0,1,0,1,0
261,18,7,3,0,2,0,2,0
262,20,5,3,0,3,2,4,0
263,16,6,3,0,3,0,2,0
264,46,4,3,0,1,1,2,0
265,35,1,2,0,4,2,NA,1
266,72,9,2,1,4,2,5,0
267,27,2,2,1,4,0,5,0
268,31,9,3,0,2,1,4,0
269,39,5,2,1,5,1,5,0
270,61,1,3,0,4,0,5,0
271,39,5,3,0,3,1,3,0
272,41,4,2,1,3,0,1,0
273,62,3,3,1,3,2,4,0
274,58,6,3,1,3,2,3,0
275,24,1,3,1,3,2,2,0
276,72,6,3,0,1,1,1,0
277,84,9,3,0,5,1,5,0
278,44,3,2,0,3,2,3,0
279,21,5,3,1,3,0,4,0
280,78,3,2,0,4,2,5,0
281,80,5,2,0,4,2,3,0
282,53,4,2,1,3,2,4,0
283,19,6,2,1,4,0,4,0
284,29,2,2,0,3,0,2,0
285,18,3,2,0,4,2,5,0
286,74,4,2,0,4,1,4,0
287,40,4,2,0,5,0,3,0
288,30,4,3,0,3,0,4,0
289,47,5,2,1,1,0,1,0
290,56,2,2,0,1,0,2,0
291,36,1,2,1,5,0,5,0
292,34,5,1,0,3,0,5,0
293,59,8,2,1,4,2,3,0
294,73,2,2,0,2,0,2,0
295,61,3,2,1,3,0,3,0
296,18,4,3,1,1,1,1,0
297,25,6,2,1,3,0,NA,1
298,72,9,2,0,3,0,3,0
299,34,7,3,0,2,2,2,0
300,48,4,2,0,5,0,4,0
301,41,9,3,0,3,1,4,0
302,37,9,2,0,3,0,3,0
303,23,8,2,1,1,2,NA,1
304,15,5,1,0,3,1,3,0
305,54,7,2,1,5,2,5,0
306,53,7,3,0,5,0,5,0
307,72,1,2,1,3,0,3,0
308,41,5,3,1,4,0,5,0
309,34,7,3,0,1,2,NA,1
310,71,5,3,0,5,2,5,0
311,83,7,3,0,5,2,5,0
312,54,3,1,1,1,2,1,0
313,63,5,3,0,5,2,5,0
314,77,4,2,1,3,0,NA,1
315,78,9,2,0,1,1,2,0
316,51,2,2,1,5,0,4,0
317,45,4,2,0,5,0,NA,1
318,35,7,2,0,3,2,4,0
319,20,1,2,1,1,0,NA,1
320,69,6,3,1,1,0,1,0
321,79,7,3,0,1,0,2,0
322,59,7,3,0,3,2,5,0
323,40,6,2,0,5,2,5,0
324,83,4,2,1,5,2,5,0
325,56,6,3,0,2,2,NA,1
326,83,7,3,0,3,2,NA,1
327,32,8,3,0,5,1,5,0
328,48,3,1,1,2,0,1,0
329,32,7,2,0,3,1,4,0
330,53,4,3,0,3,2,4,0
331,64,6,1,1,4,2,5,0
332,50,5,2,0,3,0,3,0
333,20,6,2,1,3,0,3,0
334,47,5,3,0,2,1,3,0
335,60,7,2,0,4,0,4,0
336,30,6,3,0,2,0,4,0
337,55,3,3,0,1,2,1,0
338,27,8,3,1,3,2,3,0
339,70,3,3,0,2,2,4,0
340,27,1,2,0,5,2,5,0
341,28,7,2,0,1,2,2,0
342,69,6,2,0,3,0,3,0
343,44,1,2,1,2,2,2,0
344,59,8,2,1,5,0,5,0
345,49,5,2,0,2,2,2,0
346,77,4,1,0,2,0,3,0
347,58,7,3,1,4,2,3,0
348,31,5,3,1,1,1,2,0
349,62,7,2,0,4,0,4,0
350,53,9,2,1,3,1,3,0
351,15,5,1,0,2,0,1,0
352,55,4,3,0,1,1,1,0
353,73,1,2,0,2,1,3,0
354,26,5,2,1,4,0,4,0
355,19,5,3,1,4,1,NA,1
356,20,7,3,1,4,0,5,0
357,55,6,3,0,1,0,2,0
358,18,2,2,0,2,2,1,0
359,78,5,3,1,5,1,NA,1
360,22,7,3,1,5,0,5,0
361,30,5,3,1,1,1,1,0
362,74,1,2,1,1,2,2,0
363,39,9,1,1,2,1,3,0
364,67,2,2,1,4,2,5,0
365,21,4,3,0,3,2,4,0
366,32,8,3,0,1,1,2,0
367,68,9,2,1,2,2,2,0
368,54,3,2,1,2,1,3,0
369,49,7,2,1,2,1,3,0
370,77,8,2,1,2,0,2,0
371,23,8,2,1,1,0,3,0
372,82,3,3,1,4,0,4,0
373,45,1,2,0,3,0,4,0
374,46,1,3,1,4,0,4,0
375,59,7,2,0,2,1,3,0
376,51,1,2,1,4,2,3,0
377,67,1,3,1,2,1,3,0
378,41,6,2,1,1,1,2,0
379,71,9,2,0,1,2,2,0
380,22,1,2,1,3,1,4,0
381,28,6,2,1,2,1,3,0
382,44,7,2,1,1,2,2,0
383,58,9,3,0,1,1,2,0
384,78,7,3,0,4,1,5,0
385,75,9,2,1,3,2,3,0
386,45,2,2,0,4,1,4,0
387,26,8,2,1,3,2,4,0
388,60,6,3,0,4,1,5,0
389,80,1,1,1,1,1,3,0
390,20,5,2,1,1,2,1,0
391,68,9,2,1,1,2,1,0
392,58,9,2,0,5,0,NA,1
393,25,7,1,0,2,2,2,0
394,55,8,3,0,3,2,4,0
395,62,2,1,0,2,0,1,0
396,45,7,3,1,3,0,3,0
397,52,1,2,1,5,2,5,0
398,79,5,2,1,1,2,4,0
399,31,5,2,0,2,1,NA,1
400,30,4,2,1,5,1,5,0
401,22,7,3,1,3,0,3,0
402,46,9,3,1,3,1,4,0
403,44,9,2,1,1,1,NA,1
404,54,2,2,1,4,2,NA,1
405,38,7,1,1,2,0,3,0
406,36,2,1,1,5,1,5,0
407,67,6,3,0,5,2,5,0
408,24,4,2,1,3,2,3,0
409,79,9,3,1,2,2,NA,1
410,52,5,2,1,2,1,3,0
411,60,9,3,1,5,2,5,0
412,58,8,3,1,1,1,2,0
413,17,7,3,1,3,1,4,0
414,40,9,3,1,4,0,4,0
415,56,8,3,0,5,2,5,0
416,36,1,2,1,5,1,5,0
417,33,1,2,1,3,0,4,0
418,33,8,2,0,2,2,4,0
419,22,8,2,1,3,1,4,0
420,79,7,3,0,5,2,4,0
421,84,8,2,1,3,2,NA,1
422,36,7,3,0,1,1,2,0
423,50,8,3,1,5,1,5,0
424,44,4,1,0,5,1,5,0
425,36,1,3,1,5,0,5,0
426,67,4,2,0,1,2,1,0
427,67,6,2,1,3,1,NA,1
428,39,2,3,1,5,2,5,0
429,73,7,2,0,3,1,3,0
430,72,7,2,0,4,1,4,0
431,38,1,3,1,1,2,2,0
432,27,7,2,0,2,1,3,0
433,81,7,3,0,3,2,3,0
434,69,8,2,1,3,2,4,0
435,67,5,2,1,5,2,4,0
436,70,3,2,1,3,0,3,0
437,17,1,3,0,2,1,2,0
438,62,8,2,0,3,1,4,0
439,41,6,3,0,1,2,2,0
440,81,1,2,1,2,0,3,0
441,30,6,2,1,5,0,NA,1
442,52,5,2,0,3,1,3,0
443,44,8,3,1,5,0,5,0
444,40,5,2,0,5,0,5,0
445,30,1,2,0,3,1,4,0
446,32,1,2,0,4,2,5,0
447,20,7,2,0,2,0,2,0
448,84,7,1,0,5,2,4,0
449,62,7,2,0,3,0,4,0
450,48,3,3,1,3,2,4,0
451,55,7,2,0,1,2,1,0
452,64,1,3,1,2,1,2,0
453,19,6,2,1,2,2,3,0
454,49,9,1,1,5,1,NA,1
455,49,3,2,1,5,1,5,0
456,68,4,3,0,4,2,5,0
457,35,7,2,0,2,1,3,0
458,20,8,1,1,1,2,3,0
459,78,2,2,1,4,0,4,0
460,28,5,2,1,5,1,5,0
461,74,8,2,1,2,0,3,0
462,82,3,2,1,3,0,3,0
463,54,7,3,0,2,1,3,0
464,52,7,2,1,5,0,3,0
465,68,6,2,1,2,2,2,0
466,83,4,2,0,2,1,3,0
467,33,9,3,0,1,1,2,0
468,37,8,2,1,2,0,3,0
469,16,5,2,1,1,2,NA,1
470,63,3,2,0,4,1,5,0
471,72,8,2,1,4,1,4,0
472,20,9,1,1,2,2,2,0
473,23,2,2,1,1,2,3,0
474,19,9,2,0,3,0,4,0
475,39,4,2,1,4,2,5,0
476,27,3,2,1,4,1,NA,1
477,24,9,3,0,5,0,4,0
478,42,6,2,1,4,1,NA,1
479,43,6,3,0,5,2,4,0
480,78,5,3,0,1,1,2,0
481,20,4,3,1,4,1,4,0
482,49,9,3,1,3,0,2,0
483,78,5,2,0,5,0,NA,1
484,52,6,2,1,2,1,4,0
485,79,9,2,1,3,2,2,0
486,62,9,2,1,5,1,5,0
487,25,7,3,1,5,0,5,0
488,32,7,3,0,5,0,5,0
489,16,7,2,1,3,1,4,0
490,60,9,1,0,4,2,4,0
491,56,3,2,0,4,2,3,0
492,16,2,2,1,3,2,3,0
493,84,7,2,1,4,1,5,0
494,24,5,2,0,3,2,4,0
495,69,1,2,1,1,1,2,0
496,44,7,2,1,3,1,4,0
497,76,6,2,1,5,1,5,0
498,64,9,3,1,2,1,2,0
499,80,4,2,1,4,0,5,0
500,45,8,2,0,3,0,4,0
501,70,7,2,1,2,2,1,0
502,65,1,3,1,4,2,NA,1
503,37,2,1,1,4,1,4,0
504,79,7,3,0,3,1,NA,1
505,60,2,2,0,3,1,5,0
506,21,9,1,1,4,2,4,0
507,37,9,2,1,2,0,4,0
508,65,2,2,0,5,2,4,0
509,25,8,2,0,5,1,5,0
510,28,1,2,0,3,2,4,0
511,70,7,1,1,5,2,5,0
512,74,3,2,1,1,1,2,0
513,41,2,2,0,4,1,5,0
514,45,9,2,0,4,0,4,0
515,64,6,2,0,3,1,4,0
516,59,3,3,0,4,0,4,0
517,44,2,3,0,2,0,3,0
518,55,3,3,0,3,2,2,0
519,83,4,2,1,1,0,1,0
520,77,9,2,1,3,2,5,0
521,66,2,2,1,1,2,2,0
522,38,4,3,0,5,1,5,0
523,15,7,3,0,5,0,5,0
524,22,4,3,1,4,1,5,0
525,18,6,2,1,5,1,5,0
526,41,7,2,1,3,1,4,0
527,65,4,1,0,3,1,4,0
528,75,3,3,0,2,0,2,0
529,31,6,3,0,4,2,5,0
530,61,6,2,1,5,2,NA,1
531,64,6,2,1,3,2,4,0
532,76,5,3,0,4,2,NA,1
533,73,7,2,0,1,0,2,0
534,77,5,3,0,4,0,5,0
535,55,5,2,1,2,0,2,0
536,63,3,2,0,2,0,2,0
537,73,5,3,1,4,2,4,0
538,78,5,3,0,5,0,5,0
539,19,5,3,1,5,0,NA,1
540,32,6,2,0,5,0,NA,1
541,35,7,1,0,5,1,NA,1
542,79,9,1,1,2,1,3,0
543,75,5,2,1,2,1,3,0
544,17,8,3,1,1,1,2,0
545,48,8,2,1,4,1,5,0
546,51,9,3,1,3,1,3,0
547,85,3,2,0,4,2,5,0
548,38,5,2,0,3,0,3,0
549,27,7,2,0,2,2,2,0
550,30,2,2,0,1,2,3,0
551,30,6,2,1,2,0,2,0
552,69,8,3,0,4,2,3,0
553,66,8,2,0,3,1,4,0
554,50,5,2,1,3,1,NA,1
555,73,4,3,0,1,0,1,0
556,58,3,2,0,1,2,1,0
557,29,7,2,1,5,0,5,0
558,29,8,3,0,4,1,NA,1
559,84,7,2,0,2,2,4,0
560,78,3,3,1,4,1,5,0
561,35,3,3,1,2,1,3,0
562,44,9,2,0,3,0,4,0
563,79,6,2,1,4,1,5,0
564,54,5,3,0,1,0,2,0
565,43,5,2,1,1,0,2,0
566,42,7,3,0,1,0,1,0
567,78,3,2,1,2,0,NA,1
568,49,8,3,0,1,1,2,0
569,34,5,2,0,4,0,4,0
570,75,2,2,0,3,2,4,0
571,32,8,2,0,1,2,1,0
572,32,5,3,0,2,1,3,0
573,48,8,2,0,2,0,1,0
574,71,3,2,1,1,2,2,0
575,18,5,2,0,4,1,5,0
576,47,6,3,0,3,1,5,0
577,34,5,3,1,4,2,5,0
578,66,6,2,0,2,1,3,0
579,71,3,3,1,5,0,5,0
580,50,7,3,1,5,0,5,0
581,49,3,2,1,1,0,3,0
582,63,5,2,0,1,0,4,0
583,49,5,3,1,4,0,3,0
584,63,7,3,1,5,0,5,0
585,30,2,2,0,2,0,3,0
586,77,3,2,0,2,2,2,0
587,28,4,3,1,5,1,5,0
588,27,3,3,1,2,2,1,0
589,16,4,3,0,2,0,2,0
590,43,2,2,0,3,0,NA,1
591,50,6,2,0,3,0,4,0
592,34,9,2,0,2,1,3,0
593,74,5,2,0,2,0,2,0
594,75,7,2,1,5,2,NA,1
595,73,5,3,1,4,1,5,0
596,59,5,2,1,2,2,4,0
597,30,9,3,1,2,2,2,0
598,50,4,2,1,1,0,1,0
599,49,4,3,0,3,0,2,0
600,73,9,3,0,2,2,3,0
601,37,7,2,0,2,2,2,0
602,58,4,3,1,4,1,5,0
603,50,3,2,0,3,0,3,0
604,27,7,2,0,4,2,5,0
605,36,5,2,1,5,1,5,0
606,79,5,2,1,1,0,1,0
607,59,6,2,0,3,1,4,0
608,61,5,2,1,2,1,3,0
609,57,5,2,0,2,2,2,0
610,39,3,2,0,2,1,NA,1
611,18,9,2,0,1,2,1,0
612,59,9,2,1,3,1,4,0
613,46,5,3,1,2,2,2,0
614,24,5,3,1,3,1,3,0
615,51,6,2,0,4,2,5,0
616,43,8,2,1,1,1,2,0
617,85,7,2,0,2,1,3,0
618,42,1,3,1,5,1,5,0
619,18,9,2,1,2,0,2,0
620,15,7,3,0,3,0,4,0
621,22,1,2,0,4,2,5,0
622,68,7,3,0,3,2,NA,1
623,57,5,2,0,3,0,3,0
624,79,9,2,1,3,1,4,0
625,38,7,2,0,5,0,NA,1
626,41,4,3,0,1,0,1,0
627,82,5,1,1,1,0,3,0
628,31,5,3,0,3,0,4,0
629,64,6,3,1,5,2,5,0
630,44,2,2,1,2,0,1,0
631,16,3,2,0,5,1,5,0
632,49,1,1,0,1,0,2,0
633,33,3,2,0,2,1,3,0
634,53,7,2,0,4,2,4,0
635,35,9,2,0,3,0,3,0
636,57,8,3,0,5,0,5,0
637,67,3,2,1,3,0,4,0
638,74,6,2,1,4,2,5,0
639,50,2,2,1,3,1,NA,1
640,41,4,2,1,4,2,3,0
641,51,6,2,1,5,1,5,0
642,31,3,3,0,5,0,5,0
643,57,6,2,0,5,1,5,0
644,41,6,3,1,2,1,3,0
645,35,2,1,0,2,0,3,0
646,66,5,3,1,3,0,2,0
647,31,6,2,0,3,1,4,0
648,52,9,2,1,4,0,4,0
649,15,5,2,0,2,0,1,0
650,41,2,2,0,5,0,2,0
651,55,6,3,1,3,1,NA,1
652,33,5,1,0,5,1,5,0
653,41,6,3,0,5,0,5,0
654,29,4,2,1,3,1,4,0
655,17,9,3,1,1,1,NA,1
656,74,5,1,0,4,1,5,0
657,57,3,2,0,2,0,4,0
658,35,1,3,1,3,2,2,0
659,21,8,3,0,5,1,5,0
660,47,4,2,0,1,0,2,0
661,41,6,1,0,4,0,3,0
662,66,2,2,0,2,1,3,0
663,32,4,2,1,2,0,2,0
664,67,7,2,1,1,0,1,0
665,31,6,3,1,3,1,4,0
666,70,2,2,1,3,2,3,0
667,16,5,3,1,4,0,5,0
668,54,2,2,1,1,0,1,0
669,28,7,2,1,5,0,4,0
670,51,7,3,0,1,1,2,0
671,24,4,3,1,4,1,4,0
672,35,4,2,0,5,2,5,0
673,84,3,2,1,4,0,5,0
674,83,2,2,0,2,2,2,0
675,54,3,3,0,1,0,1,0
676,62,6,2,0,5,1,5,0
677,82,6,3,0,5,1,5,0
678,23,7,2,0,5,2,5,0
679,74,5,1,1,3,2,4,0
680,76,7,3,1,1,2,2,0
681,84,4,2,1,2,0,1,0
682,46,7,2,0,5,2,5,0
683,35,8,2,1,5,2,5,0
684,43,9,3,1,4,1,4,0
685,31,7,2,1,2,2,2,0
686,30,4,2,0,1,2,2,0
687,57,7,2,0,5,0,5,0
688,85,2,3,0,2,1,3,0
689,34,4,2,0,5,1,5,0
690,79,5,2,0,5,2,5,0
691,70,6,2,1,5,1,5,0
692,78,1,2,0,5,0,5,0
693,85,7,3,0,5,0,5,0
694,62,5,3,1,3,0,4,0
695,28,6,2,0,3,0,3,0
696,74,7,3,1,5,0,5,0
697,50,5,1,0,1,1,2,0
698,82,5,2,0,4,2,4,0
699,20,1,3,0,1,1,2,0
700,37,3,2,0,1,2,1,0
701,72,5,3,1,3,0,2,0
702,82,6,3,0,4,2,5,0
703,23,1,2,0,3,2,4,0
704,38,5,2,1,2,0,4,0
705,27,5,2,0,1,1,NA,1
706,65,7,3,0,2,0,NA,1
707,24,2,3,1,4,0,5,0
708,30,8,2,1,2,2,3,0
709,44,7,1,0,2,0,NA,1
710,32,8,2,0,3,2,4,0
711,59,8,2,0,2,0,2,0
712,56,8,2,1,3,0,2,0
713,27,9,3,1,2,1,2,0
714,28,5,1,1,2,0,2,0
715,77,7,2,1,3,2,4,0
716,44,5,2,0,3,0,3,0
717,73,5,2,1,4,1,4,0
718,31,7,2,1,3,2,2,0
719,42,4,2,1,1,2,1,0
720,66,5,3,0,2,2,3,0
721,75,4,3,1,1,0,1,0
722,71,7,2,1,2,1,3,0
723,65,6,3,0,4,0,5,0
724,54,5,2,0,5,2,NA,1
725,70,5,3,0,4,0,5,0
726,77,8,2,0,3,2,2,0
727,77,9,3,1,2,0,NA,1
728,33,6,3,0,2,0,2,0
729,58,7,2,1,2,2,NA,1
730,63,3,2,1,4,2,4,0
731,36,8,3,0,1,0,4,0
732,40,3,3,1,3,1,4,0
733,74,1,1,0,3,0,2,0
734,85,5,2,0,5,0,4,0
735,42,5,3,1,1,0,2,0
736,33,2,3,1,1,2,3,0
737,17,1,2,0,4,0,5,0
738,51,5,2,1,3,1,4,0
739,23,2,2,1,5,1,5,0
740,78,8,3,1,3,0,3,0
741,28,7,2,0,3,2,3,0
742,59,1,3,1,2,0,1,0
743,47,1,3,1,3,1,3,0
744,56,5,3,1,5,2,5,0
745,63,8,2,0,3,0,3,0
746,60,5,2,0,3,2,2,0
747,58,7,1,0,3,0,5,0
748,76,9,1,0,2,2,2,0
749,42,7,1,1,5,0,5,0
750,38,7,2,0,3,2,4,0
751,57,7,2,0,5,1,NA,1
752,70,4,3,0,2,1,3,0
753,48,3,2,0,2,2,4,0
754,74,4,1,0,1,0,1,0
755,62,4,2,0,4,2,5,0
756,64,4,3,0,3,2,3,0
757,46,8,2,1,3,0,3,0
758,26,9,3,0,4,0,5,0
759,37,3,3,1,3,0,4,0
760,35,1,3,1,3,0,3,0
761,60,9,1,0,4,1,5,0
762,65,7,2,0,2,1,3,0
763,32,7,2,1,1,0,1,0
764,54,5,2,1,5,2,5,0
765,68,5,2,1,2,1,2,0
766,17,2,3,1,1,2,2,0
767,64,7,1,1,2,0,4,0
768,30,6,3,0,1,0,1,0
769,65,5,2,0,3,0,3,0
770,84,8,3,1,1,2,2,0
